MY_MMult = [
40 4.280936e-01 0.000000e+00
80 5.127692e-01 0.000000e+00
120 5.383178e-01 0.000000e+00
160 5.385576e-01 0.000000e+00
200 5.448478e-01 0.000000e+00
240 5.444020e-01 0.000000e+00
280 5.305171e-01 0.000000e+00
320 5.118121e-01 0.000000e+00
360 4.542543e-01 0.000000e+00
400 4.931707e-01 0.000000e+00
440 4.698044e-01 0.000000e+00
480 4.201640e-01 0.000000e+00
520 4.312785e-01 0.000000e+00
560 4.373066e-01 0.000000e+00
600 4.334408e-01 0.000000e+00
640 4.203505e-01 0.000000e+00
680 3.962893e-01 0.000000e+00
720 4.318655e-01 0.000000e+00
760 3.842004e-01 0.000000e+00
800 3.434386e-01 0.000000e+00
];
