./test_MMult.x
MY_MMult = [
40 2.133333e+00 2.664535e-15 
80 2.280624e+00 7.105427e-15 
120 4.250923e+00 1.065814e-14 
160 7.706491e+00 1.421085e-14 
200 8.200923e+00 2.131628e-14 
240 8.317690e+00 2.486900e-14 
280 8.107849e+00 2.842171e-14 
320 8.286256e+00 3.552714e-14 
360 8.164494e+00 4.973799e-14 
400 8.164827e+00 4.973799e-14 
440 8.182115e+00 4.973799e-14 
480 8.106432e+00 6.039613e-14 
520 7.952042e+00 6.394885e-14 
560 8.102611e+00 6.750156e-14 
600 8.046641e+00 7.460699e-14 
640 7.729897e+00 8.171241e-14 
680 7.765575e+00 9.237056e-14 
720 7.735630e+00 1.101341e-13 
760 7.646533e+00 1.065814e-13 
800 7.727602e+00 8.881784e-14 
];
