MY_MMult = [
40 1.454545e+00 0.000000e+00
80 1.389417e+00 0.000000e+00
120 1.451491e+00 0.000000e+00
160 1.502568e+00 0.000000e+00
200 1.534919e+00 0.000000e+00
240 1.515789e+00 0.000000e+00
280 1.527361e+00 0.000000e+00
320 1.506921e+00 0.000000e+00
360 1.395925e+00 0.000000e+00
400 1.469828e+00 0.000000e+00
440 1.111439e+00 0.000000e+00
480 1.377321e+00 0.000000e+00
520 1.451318e+00 0.000000e+00
560 1.264061e+00 0.000000e+00
600 1.113813e+00 0.000000e+00
640 1.373319e+00 0.000000e+00
680 1.397227e+00 0.000000e+00
720 1.371010e+00 0.000000e+00
760 1.339019e+00 0.000000e+00
800 1.320534e+00 0.000000e+00
];
