./test_MMult.x
MY_MMult = [
40 6.368159e-01 0.000000e+00 
80 5.864834e-01 0.000000e+00 
120 5.344881e-01 0.000000e+00 
160 6.671553e-01 0.000000e+00 
200 6.555765e-01 0.000000e+00 
240 6.677454e-01 0.000000e+00 
280 6.674065e-01 0.000000e+00 
320 6.697188e-01 0.000000e+00 
360 5.595586e-01 0.000000e+00 
400 6.588293e-01 0.000000e+00 
440 6.630653e-01 0.000000e+00 
480 6.620115e-01 0.000000e+00 
520 6.634424e-01 0.000000e+00 
560 6.609970e-01 0.000000e+00 
600 6.602375e-01 0.000000e+00 
640 6.630564e-01 0.000000e+00 
680 6.463364e-01 0.000000e+00 
720 6.450174e-01 0.000000e+00 
760 6.460888e-01 0.000000e+00 
800 6.560952e-01 0.000000e+00 
];
