./test_MMult.x
MY_MMult = [
40 8.533333e+00 2.664535e-15 
80 7.062069e+00 7.105427e-15 
120 7.291139e+00 1.065814e-14 
160 8.023506e+00 1.421085e-14 
200 8.376963e+00 2.131628e-14 
240 8.297719e+00 2.486900e-14 
280 8.285337e+00 2.842171e-14 
320 8.390219e+00 3.552714e-14 
360 8.293663e+00 4.973799e-14 
400 8.030113e+00 4.973799e-14 
440 8.122431e+00 4.973799e-14 
480 8.003763e+00 6.039613e-14 
520 8.081848e+00 6.394885e-14 
560 8.056334e+00 6.750156e-14 
600 8.088222e+00 7.460699e-14 
640 7.994511e+00 8.171241e-14 
680 8.013456e+00 9.237056e-14 
720 8.021491e+00 1.101341e-13 
760 7.786783e+00 1.065814e-13 
800 7.940447e+00 8.881784e-14 
];
