Running test_MMult for different MMult functions:

When MY_MMult is from MMult0:
MY_MMult = [
40 1.216730e-01 0.000000e+00
80 4.725427e-01 0.000000e+00
120 4.514107e-01 0.000000e+00
160 5.037201e-01 0.000000e+00
200 5.097489e-01 0.000000e+00
240 4.920186e-01 0.000000e+00
280 5.070917e-01 0.000000e+00
320 5.072799e-01 0.000000e+00
360 5.044874e-01 0.000000e+00
400 5.009157e-01 0.000000e+00
440 4.952486e-01 0.000000e+00
480 4.741076e-01 0.000000e+00
520 4.617206e-01 0.000000e+00
560 4.590146e-01 0.000000e+00
600 4.580172e-01 0.000000e+00
640 4.474432e-01 0.000000e+00
680 3.946472e-01 0.000000e+00
720 3.800979e-01 0.000000e+00
760 3.573489e-01 0.000000e+00
800 3.483900e-01 0.000000e+00
];

When MY_MMult is from MMult1
MY_MMult = [
40 5.638767e-01 0.000000e+00
80 6.420063e-01 0.000000e+00
120 5.904664e-01 0.000000e+00
160 6.304448e-01 0.000000e+00
200 6.315623e-01 0.000000e+00
240 6.268393e-01 0.000000e+00
280 6.327319e-01 0.000000e+00
320 6.297481e-01 0.000000e+00
360 6.264863e-01 0.000000e+00
400 6.248352e-01 0.000000e+00
440 6.211214e-01 0.000000e+00
480 6.181190e-01 0.000000e+00
520 6.219281e-01 0.000000e+00
560 6.216881e-01 0.000000e+00
600 6.165307e-01 0.000000e+00
640 6.212517e-01 0.000000e+00
680 6.143680e-01 0.000000e+00
720 6.036359e-01 0.000000e+00
760 5.533571e-01 0.000000e+00
800 5.275751e-01 0.000000e+00
];

When MY_MMult is from MMult2
MY_MMult = [
40 1.511216e-01 0.000000e+00
80 5.956952e-01 0.000000e+00
120 5.934066e-01 0.000000e+00
160 6.414031e-01 0.000000e+00
200 6.324611e-01 0.000000e+00
240 6.422001e-01 0.000000e+00
280 6.427358e-01 0.000000e+00
320 6.374105e-01 0.000000e+00
360 6.445801e-01 0.000000e+00
400 6.387927e-01 0.000000e+00
440 6.263069e-01 0.000000e+00
480 6.367573e-01 0.000000e+00
520 6.094168e-01 0.000000e+00
560 5.882524e-01 0.000000e+00
600 4.950444e-01 0.000000e+00
640 6.103363e-01 0.000000e+00
680 5.837078e-01 0.000000e+00
720 6.064793e-01 0.000000e+00
760 5.205054e-01 0.000000e+00
800 4.737880e-01 0.000000e+00
];

When MY_MMult is from MMult_1x4_3
MY_MMult = [
40 3.450135e-01 0.000000e+00
80 6.408010e-01 0.000000e+00
120 6.195769e-01 0.000000e+00
160 6.452934e-01 0.000000e+00
200 6.455257e-01 0.000000e+00
240 6.447761e-01 0.000000e+00
280 6.302432e-01 0.000000e+00
320 6.476017e-01 0.000000e+00
360 6.453291e-01 0.000000e+00
400 6.478454e-01 0.000000e+00
440 5.818520e-01 0.000000e+00
480 6.140657e-01 0.000000e+00
520 5.704861e-01 0.000000e+00
560 5.697194e-01 0.000000e+00
600 5.796098e-01 0.000000e+00
640 5.658533e-01 0.000000e+00
680 4.882378e-01 0.000000e+00
720 6.118228e-01 0.000000e+00
760 5.636504e-01 0.000000e+00
800 6.088566e-01 0.000000e+00
];

When MY_MMult is from MMult_1x4_4
MY_MMult = [
40 1.907601e-01 0.000000e+00
80 6.408010e-01 0.000000e+00
120 6.193548e-01 0.000000e+00
160 6.346452e-01 0.000000e+00
200 6.240006e-01 0.000000e+00
240 6.200215e-01 0.000000e+00
280 6.239998e-01 0.000000e+00
320 6.182758e-01 0.000000e+00
360 6.170368e-01 0.000000e+00
400 5.981057e-01 0.000000e+00
440 5.837899e-01 0.000000e+00
480 5.183619e-01 0.000000e+00
520 5.011235e-01 0.000000e+00
560 5.413939e-01 0.000000e+00
600 4.221842e-01 0.000000e+00
640 4.838846e-01 0.000000e+00
680 5.322874e-01 0.000000e+00
720 4.983291e-01 0.000000e+00
760 4.624541e-01 0.000000e+00
800 5.117631e-01 0.000000e+00
];

When MY_MMult is from MMult_1x4_5
MY_MMult = [
40 1.638924e-01 0.000000e+00
80 6.961251e-01 0.000000e+00
120 6.757919e-01 0.000000e+00
160 6.720814e-01 0.000000e+00
200 7.058720e-01 0.000000e+00
240 6.996483e-01 0.000000e+00
280 6.866652e-01 0.000000e+00
320 6.905577e-01 0.000000e+00
360 6.785439e-01 0.000000e+00
400 6.854450e-01 0.000000e+00
440 6.885364e-01 0.000000e+00
480 6.970047e-01 0.000000e+00
520 6.675751e-01 0.000000e+00
560 6.864424e-01 0.000000e+00
600 5.645398e-01 0.000000e+00
640 6.495184e-01 0.000000e+00
680 6.455515e-01 0.000000e+00
720 6.556481e-01 0.000000e+00
760 6.169622e-01 0.000000e+00
800 6.463875e-01 0.000000e+00
];

When MY_MMult is from MMult_1x4_6
MY_MMult = [
40 1.562882e-01 2.664535e-15
80 6.547315e-01 7.105427e-15
120 6.213592e-01 1.065814e-14
160 6.690624e-01 1.421085e-14
200 6.779948e-01 1.421085e-14
240 6.762382e-01 1.776357e-14
280 6.733639e-01 1.776357e-14
320 6.654077e-01 2.842171e-14
360 6.716911e-01 2.309264e-14
400 6.488503e-01 2.842171e-14
440 6.625290e-01 3.197442e-14
480 6.487704e-01 3.907985e-14
520 5.780082e-01 3.907985e-14
560 6.355058e-01 4.618528e-14
600 6.463408e-01 4.263256e-14
640 6.208662e-01 4.440892e-14
680 6.402795e-01 5.329071e-14
720 6.182361e-01 4.973799e-14
760 6.535216e-01 4.973799e-14
800 6.469838e-01 4.973799e-14
];

When MY_MMult is from MMult_1x4_7
MY_MMult = [
40 2.335766e-01 2.664535e-15
80 6.551504e-01 7.105427e-15
120 6.447761e-01 1.065814e-14
160 6.494371e-01 1.421085e-14
200 6.933310e-01 1.421085e-14
240 6.899236e-01 1.776357e-14
280 6.918810e-01 1.776357e-14
320 6.797283e-01 2.842171e-14
360 6.819707e-01 2.309264e-14
400 6.510781e-01 2.842171e-14
440 5.263828e-01 3.197442e-14
480 6.255911e-01 3.907985e-14
520 6.641710e-01 3.907985e-14
560 5.824627e-01 4.618528e-14
